method,dataset,seed,k_used,modularity,onmi,f1,mean_umax,frac_multi,rule_fidelity,m_used,error,secs
fcmad|raw,fakeddit@r0.25,2,10,0.10101317834487893,0.23983393667836705,0.4446531275569655,0.7452846941322122,0.31583333333333335,0.20333333333333334,1.1,,2.22
specsoft|cca,fakeddit@r0.25,0,10,0.06328061999816371,0.06327418330729029,0.329610657001412,0.7947996115163293,0.24916666666666668,0.16666666666666666,,,2.3
specsoft|cca,fakeddit@r0.25,2,10,0.06253471587070487,0.06582353184182876,0.2773515076560703,0.8413852605083646,0.21083333333333334,0.205,,,2.34
specsoft|cca,fakeddit@r0.25,1,10,0.06496000988633868,0.07147990054076314,0.2905250454016011,0.8188841111169572,0.235,0.1875,,,2.45
specsoft|raw,fakeddit@r0.25,0,10,0.110675682839036,0.24312691861885993,0.43956092455995793,0.9751628940803296,0.04666666666666667,0.23833333333333334,,,2.39
base:spectral_graph+content,fakeddit@r0.25,0,10,0.15026800585029598,0.29706218701122056,0.505092291934884,,,,,,0.33
base:spectral_graph+content,fakeddit@r0.25,1,10,0.14559016393013763,0.31981012987381785,0.5335418754256771,,,,,,0.33
base:spectral_graph+content,fakeddit@r0.25,2,10,0.15116109442789688,0.2986240644866036,0.5047485489260474,,,,,,0.33
specsoft|raw,fakeddit@r0.25,1,10,0.12326615090712728,0.26699128896033586,0.47087966581545393,0.9814445516909852,0.035,0.27,,,2.23
base:kmeans_content,fakeddit@r0.25,0,10,0.06406249289158421,0.08148429537517676,0.27069755766412107,,,,,,0.62
base:kmeans_content,fakeddit@r0.25,1,10,0.059931133289908324,0.05281184324661137,0.3080640691677653,,,,,,0.5
base:louvain,fakeddit@r0.25,0,9,0.21670854993895525,0.026228191380809562,0.24892566799599944,,,,,,0.34
base:kmeans_content,fakeddit@r0.25,2,10,0.06542818139448657,0.08074720016748604,0.27483072454287527,,,,,,0.52
base:louvain,fakeddit@r0.25,1,9,0.21309665064354197,0.04049604607298507,0.2461193095010189,,,,,,0.5
base:louvain,fakeddit@r0.25,2,8,0.22067372386349826,0.057939111662093756,0.29083552819944625,,,,,,0.25
specsoft|raw,fakeddit@r0.25,2,10,0.10670295708558755,0.18545329640500774,0.40940960336065685,0.9781856009094501,0.041666666666666664,0.2733333333333333,,,2.09
default,fakeddit@r0.5,1,10,0.02716592428897992,0.032046072270707215,0.21057464352683192,0.1000064467097156,0.0,0.3625,1.5,,2.31
default,fakeddit@r0.5,2,10,0.03271982983096377,0.021073499831535503,0.18902113591664088,0.10000717511708548,0.0,0.37833333333333335,1.5,,2.27
