group,dataset,seed,method,x,k_used,onmi,modularity,f1,auroc_agree,auroc_conf,error,secs
mis,crisismmd,4,nfmcd_robust,0.2,7,0.703085653916687,0.452302226214768,0.6987486597852951,0.7729569892473118,0.7729569892473118,,0.36
mis,crisismmd,0,nfmcd_default,0.4,7,0.6039015709077309,0.5263497632719433,0.50450868782351,0.5498903937994206,0.5498903937994206,,0.88
mis,crisismmd,2,nfmcd_default,0.4,7,0.38330252531875764,0.48203496639510446,0.3778265549874957,0.565009874917709,0.565009874917709,,0.86
mis,crisismmd,1,nfmcd_default,0.4,7,0.3751770342778422,0.4799352330679519,0.38207747302820033,0.5814356927845089,0.5814356927845089,,0.89
mis,crisismmd,3,nfmcd_default,0.4,7,0.6026868018684726,0.5255715334088267,0.5023052405107828,0.5830279240849405,0.5830279240849405,,0.98
mis,crisismmd,0,nfmcd_robust,0.4,7,0.682689717180776,0.4534758779283401,0.6920318767611381,0.7303296015031708,0.7303296015031708,,0.34
mis,crisismmd,1,nfmcd_robust,0.4,7,0.6864926469712032,0.4495391054282971,0.6908794037614294,0.7522679118754242,0.7522679118754242,,0.39
mis,crisismmd,2,nfmcd_robust,0.4,7,0.654467609817989,0.5260881150412129,0.7486879875274992,0.698400263331139,0.698400263331139,,0.38
mis,crisismmd,4,nfmcd_default,0.4,7,0.5212322204076116,0.5169292973682346,0.5017377991433962,0.5754731457800513,0.5754731457800513,,0.81
mis,crisismmd,3,nfmcd_robust,0.4,7,0.6897978415269633,0.4531275853922303,0.6913575010334745,0.7267271477112665,0.7267271477112665,,0.38
mis,crisismmd,4,nfmcd_robust,0.4,7,0.6912678364447737,0.4537306858191721,0.6915914003332304,0.7230498721227621,0.7230498721227621,,0.33
mis,fakeddit,3,nfmcd_default,0.0,10,0.3501160255023281,0.3195768640602473,0.2870567131526025,nan,nan,,2.5
mis,fakeddit,0,nfmcd_default,0.0,10,0.32404460142087477,0.28399931936023204,0.26519627888330477,nan,nan,,2.64
mis,fakeddit,1,nfmcd_default,0.0,10,0.3641407378164382,0.3173147611930934,0.19635999725760228,nan,nan,,2.64
mis,fakeddit,2,nfmcd_default,0.0,10,0.23679795396036396,0.29091205824468236,0.29866808636115544,nan,nan,,2.64
mis,fakeddit,1,nfmcd_robust,0.0,10,0.8506792410141415,0.3564787112686977,0.8487619277035814,nan,nan,,0.61
mis,fakeddit,0,nfmcd_robust,0.0,10,0.8113488531490279,0.3942959636699764,0.8392229208185844,nan,nan,,0.64
mis,fakeddit,2,nfmcd_robust,0.0,10,0.8468286440980985,0.3514289405845578,0.8467300513295998,nan,nan,,0.64
mis,fakeddit,3,nfmcd_robust,0.0,10,0.8473520376181343,0.3511817146435928,0.8478231461910608,nan,nan,,0.69
mis,fakeddit,4,nfmcd_robust,0.0,10,0.8478793447313022,0.3541341148157951,0.8461170287745755,nan,nan,,0.67
mis,fakeddit,4,nfmcd_default,0.0,10,0.30428928501697006,0.27454104227414206,0.20571064782817766,nan,nan,,1.95
mis,fakeddit,0,nfmcd_default,0.1,10,0.22482163726797944,0.2566873809581947,0.20010636390638453,0.6485419934984069,0.6485419934984069,,2.38
mis,fakeddit,2,nfmcd_default,0.1,10,0.35672412716571866,0.3213368514458222,0.25320413341611714,0.5806584293053085,0.5806584293053085,,2.62
mis,fakeddit,1,nfmcd_default,0.1,10,0.32230281820756235,0.3054881578879389,0.26044074724539723,0.6020265114545809,0.6020265114545809,,2.75
