exp,dataset,variant,seed,cond,metric,value
E1,crisismmd,default,4,tree_B_L16,cv_acc,0.9637500000000001
E1,crisismmd,default,4,tree_B_L24,fit_acc,0.99
E1,crisismmd,default,4,tree_B_L24,cv_acc,0.95875
E1,crisismmd,default,4,tree_B_L32,fit_acc,0.995
E1,crisismmd,default,4,tree_B_L32,cv_acc,0.95625
E1,crisismmd,default,4,tree_C_L2,fit_acc,0.51875
E1,crisismmd,default,4,tree_C_L2,cv_acc,0.485
E1,crisismmd,default,4,tree_C_L3,fit_acc,0.76
E1,crisismmd,default,4,tree_C_L3,cv_acc,0.755
E1,crisismmd,default,4,tree_C_L4,fit_acc,0.96875
E1,crisismmd,default,4,tree_C_L4,cv_acc,0.9674999999999999
E1,crisismmd,default,4,tree_C_L6,fit_acc,0.97375
E1,crisismmd,default,4,tree_C_L6,cv_acc,0.96875
E1,crisismmd,default,4,tree_C_L8,fit_acc,0.9775
E1,crisismmd,default,4,tree_C_L8,cv_acc,0.96875
E1,crisismmd,default,4,tree_C_L12,fit_acc,0.98125
E1,crisismmd,default,4,tree_C_L12,cv_acc,0.9675
E1,crisismmd,default,4,tree_C_L16,fit_acc,0.98375
E1,crisismmd,default,4,tree_C_L16,cv_acc,0.9637500000000001
E1,crisismmd,default,4,tree_C_L24,fit_acc,0.9875
E1,crisismmd,default,4,tree_C_L24,cv_acc,0.9574999999999999
E1,crisismmd,default,4,tree_C_L32,fit_acc,0.99
E1,crisismmd,default,4,tree_C_L32,cv_acc,0.9512499999999999
E1,crisismmd,default,4,tree,majority_all,0.26125
