diagnostic,dataset,seed,variant,metric,value
d5_cca,fakeddit,0,"cd=4,div=16",agr_sd,0.380559
d5_cca,fakeddit,0,"cd=4,div=16",agr_q05,-0.238831
d5_cca,fakeddit,0,"cd=4,div=16",agr_q25,0.454373
d5_cca,fakeddit,0,"cd=4,div=16",agr_q50,0.729359
d5_cca,fakeddit,0,"cd=4,div=16",agr_q75,0.882191
d5_cca,fakeddit,0,"cd=4,div=16",agr_q95,0.969261
d5_cca,fakeddit,0,"cd=4,div=8",onmi,0.579125
d5_cca,fakeddit,0,"cd=4,div=8",alpha_mean,0.500399
d5_cca,fakeddit,0,"cd=4,div=8",conf_mean,0.500570
d5_cca,fakeddit,0,"cd=4,div=8",agr_n,1143.000000
d5_cca,fakeddit,0,"cd=4,div=8",agr_mean,0.687947
d5_cca,fakeddit,0,"cd=4,div=8",agr_sd,0.317205
d5_cca,fakeddit,0,"cd=4,div=8",agr_q05,0.009185
d5_cca,fakeddit,0,"cd=4,div=8",agr_q25,0.581215
d5_cca,fakeddit,0,"cd=4,div=8",agr_q50,0.795187
d5_cca,fakeddit,0,"cd=4,div=8",agr_q75,0.913490
d5_cca,fakeddit,0,"cd=4,div=8",agr_q95,0.980888
d5_cca,fakeddit,0,"cd=4,div=4",onmi,0.180068
d5_cca,fakeddit,0,"cd=4,div=4",alpha_mean,0.581849
d5_cca,fakeddit,0,"cd=4,div=4",conf_mean,0.616928
d5_cca,fakeddit,0,"cd=4,div=4",agr_n,1143.000000
d5_cca,fakeddit,0,"cd=4,div=4",agr_mean,0.846360
d5_cca,fakeddit,0,"cd=4,div=4",agr_sd,0.192823
d5_cca,fakeddit,0,"cd=4,div=4",agr_q05,0.473706
d5_cca,fakeddit,0,"cd=4,div=4",agr_q25,0.805599
d5_cca,fakeddit,0,"cd=4,div=4",agr_q50,0.915759
d5_cca,fakeddit,0,"cd=4,div=4",agr_q75,0.962552
d5_cca,fakeddit,0,"cd=4,div=4",agr_q95,0.990100
d5_cca,fakeddit,0,"cd=8,div=16",onmi,0.732815
d5_cca,fakeddit,0,"cd=8,div=16",alpha_mean,0.426618
d5_cca,fakeddit,0,"cd=8,div=16",conf_mean,0.395169
d5_cca,fakeddit,0,"cd=8,div=16",agr_n,1143.000000
d5_cca,fakeddit,0,"cd=8,div=16",agr_mean,0.570419
d5_cca,fakeddit,0,"cd=8,div=16",agr_sd,0.290794
d5_cca,fakeddit,0,"cd=8,div=16",agr_q05,0.005902
d5_cca,fakeddit,0,"cd=8,div=16",agr_q25,0.418404
d5_cca,fakeddit,0,"cd=8,div=16",agr_q50,0.628375
d5_cca,fakeddit,0,"cd=8,div=16",agr_q75,0.802764
d5_cca,fakeddit,0,"cd=8,div=16",agr_q95,0.921044
d5_cca,fakeddit,0,"cd=8,div=8",onmi,0.486237
d5_cca,fakeddit,0,"cd=8,div=8",alpha_mean,0.482799
d5_cca,fakeddit,0,"cd=8,div=8",conf_mean,0.475428
d5_cca,fakeddit,0,"cd=8,div=8",agr_n,1143.000000
d5_cca,fakeddit,0,"cd=8,div=8",agr_mean,0.683662
d5_cca,fakeddit,0,"cd=8,div=8",agr_sd,0.222918
d5_cca,fakeddit,0,"cd=8,div=8",agr_q05,0.254859
d5_cca,fakeddit,0,"cd=8,div=8",agr_q25,0.576698
d5_cca,fakeddit,0,"cd=8,div=8",agr_q50,0.735460
d5_cca,fakeddit,0,"cd=8,div=8",agr_q75,0.856105
d5_cca,fakeddit,0,"cd=8,div=8",agr_q95,0.933155
d5_cca,fakeddit,0,"cd=8,div=4",onmi,0.324045
d5_cca,fakeddit,0,"cd=8,div=4",alpha_mean,0.579577
d5_cca,fakeddit,0,"cd=8,div=4",conf_mean,0.613681
d5_cca,fakeddit,0,"cd=8,div=4",agr_n,1143.000000
d5_cca,fakeddit,0,"cd=8,div=4",agr_mean,0.842475
d5_cca,fakeddit,0,"cd=8,div=4",agr_sd,0.137369
d5_cca,fakeddit,0,"cd=8,div=4",agr_q05,0.574008
d5_cca,fakeddit,0,"cd=8,div=4",agr_q25,0.798437
d5_cca,fakeddit,0,"cd=8,div=4",agr_q50,0.884055
d5_cca,fakeddit,0,"cd=8,div=4",agr_q75,0.933813
d5_cca,fakeddit,0,"cd=8,div=4",agr_q95,0.971349
d5_cca,fakeddit,0,"cd=16,div=16",onmi,0.731068
d5_cca,fakeddit,0,"cd=16,div=16",alpha_mean,0.383837
d5_cca,fakeddit,0,"cd=16,div=16",conf_mean,0.334052
d5_cca,fakeddit,0,"cd=16,div=16",agr_n,1143.000000
d5_cca,fakeddit,0,"cd=16,div=16",agr_mean,0.517939
d5_cca,fakeddit,0,"cd=16,div=16",agr_sd,0.230760
d5_cca,fakeddit,0,"cd=16,div=16",agr_q05,0.078232
d5_cca,fakeddit,0,"cd=16,div=16",agr_q25,0.374886
d5_cca,fakeddit,0,"cd=16,div=16",agr_q50,0.555383
d5_cca,fakeddit,0,"cd=16,div=16",agr_q75,0.697808
d5_cca,fakeddit,0,"cd=16,div=16",agr_q95,0.837611
d5_cca,fakeddit,0,"cd=16,div=8",onmi,0.340612
d5_cca,fakeddit,0,"cd=16,div=8",alpha_mean,0.460103
d5_cca,fakeddit,0,"cd=16,div=8",conf_mean,0.443004
d5_cca,fakeddit,0,"cd=16,div=8",agr_n,1143.000000
d5_cca,fakeddit,0,"cd=16,div=8",agr_mean,0.658442
d5_cca,fakeddit,0,"cd=16,div=8",agr_sd,0.171743
d5_cca,fakeddit,0,"cd=16,div=8",agr_q05,0.349435
d5_cca,fakeddit,0,"cd=16,div=8",agr_q25,0.563220
d5_cca,fakeddit,0,"cd=16,div=8",agr_q50,0.683638
